name,slug,officialUrl,description,proxyTypes,protocols,authentication,pricingModels,regions,features,suitableFor,limitations,sourceUrls,updatedAt,status
Bright Data,bright-data,https://brightdata.com,Bright Data 代理服务商，提供 residential/static-residential/datacenter/mobile/isp代理产品。,residential;static-residential;datacenter;mobile;isp,http;https;socks5,username-password;ip-whitelist;api,traffic;ip;package,,,,,Bright Data 官网: https://brightdata.com;Bright Data 官方文档: https://docs.brightdata.com,2026-08-08,published
NetNut,netnut,https://netnut.io,NetNut 代理服务商，提供 residential/static-residential/datacenter代理产品。,residential;static-residential;datacenter,http;https;socks5,username-password;api;ip-whitelist,traffic;ip;package,,,,,NetNut 官网: https://netnut.io;NetNut 官方文档: https://docs.netnut.io,2026-08-08,published
SOAX,soax,https://soax.com,SOAX 代理服务商，提供 residential/mobile/datacenter/isp代理产品。,residential;mobile;datacenter;isp,http;https;socks5,username-password;api;ip-whitelist,traffic;package,,,,,SOAX 官网: https://soax.com;SOAX 官方文档: https://docs.soax.com,2026-08-08,published
Oxylabs,oxylabs,https://oxylabs.io,Oxylabs 代理服务商，提供 residential/static-residential/datacenter/mobile/isp代理产品。,residential;static-residential;datacenter;mobile;isp,http;https;socks5,username-password;ip-whitelist;api,traffic;ip;package,,,,,Oxylabs 官网: https://oxylabs.io;Oxylabs 开发者文档: https://developers.oxylabs.io,2026-08-08,published
IPIDEA,ipidea,https://www.ipidea.net,IPIDEA 代理服务商，提供 residential/static-residential/datacenter代理产品。,residential;static-residential;datacenter,http;https;socks5,username-password;api;ip-whitelist,traffic;ip;package,,,,,IPIDEA 官网: https://www.ipidea.net,2026-08-08,published
IPFoxy,ipfoxy,https://www.ipfoxy.net,IPFoxy 代理服务商，提供 residential/static-residential/datacenter代理产品。,residential;static-residential;datacenter,http;https;socks5,username-password;api;ip-whitelist,traffic;ip;package,,,,,IPFoxy 官网: https://www.ipfoxy.net,2026-08-08,published
Proxy302,proxy302,https://www.proxy302.com,Proxy302 代理服务商，提供 residential/static-residential/datacenter代理产品。,residential;static-residential;datacenter,http;https;socks5,username-password;api;ip-whitelist,traffic;ip;package,,,,,Proxy302 官网: https://www.proxy302.com,2026-08-08,published
Smartproxy / Decodo,smartproxy,https://smartproxy.com,Smartproxy / Decodo 代理服务商，提供 residential/datacenter/mobile/isp代理产品。,residential;datacenter;mobile;isp,http;https;socks5,username-password;ip-whitelist;api,traffic;ip;package,,,,,Smartproxy 官网: https://smartproxy.com;Smartproxy 官方文档: https://docs.smartproxy.com,2026-08-08,published
IPRoyal,iproyal,https://iproyal.com,IPRoyal 代理服务商，提供 residential/datacenter/mobile代理产品。,residential;datacenter;mobile,http;https;socks5,username-password;ip-whitelist;api,traffic;ip;package,,,,,IPRoyal 官网: https://iproyal.com,2026-08-08,published
Webshare,webshare,https://www.webshare.io,Webshare 代理服务商，提供 residential/datacenter代理产品。,residential;datacenter,http;https;socks5,username-password;ip-whitelist;api,traffic;ip;package,,,,,Webshare 官网: https://www.webshare.io;Webshare 官方文档: https://docs.webshare.io,2026-08-08,published
